Cidade de Origem,Estado de Origem,Quantidade
Rio de Janeiro,RJ,308
São Paulo,SP,145
Porto Alegre,RS,113
Belo Horizonte,MG,90
Recife,PE,63
Fortaleza,CE,57
Curitiba,PR,40
Belém,PA,35
Santa Maria,RS,27
Salvador,BA,26
Pelotas,RS,23
Niterói,RJ,21
Viçosa,MG,18
João Pessoa,PB,18
Goiânia,GO,17
Campinas,SP,16
Maringá,PR,16
Campina Grande,PB,15
Lavras,MG,15
RIO DE JANEIRO,RJ,15
Brasília,DF,15
Juiz de Fora,MG,14
Natal,RN,14
Florianópolis,SC,11
Santos,SP,11
Vitória,ES,10
Montes Claros,MG,10
Ribeirão Preto,SP,10
Rio Claro,SP,9
São Carlos,SP,9
Araraquara,SP,9
Piracicaba,SP,9
Sao Paulo,SP,9
Uberlândia,MG,9
São José do Rio Preto,SP,9
Maceió,AL,8
PORTO ALEGRE,RS,8
FORTALEZA,CE,8
RECIFE,PE,8
Manaus,AM,7
Santa Cruz do Sul,RS,7
Aracaju,SE,6
Mossoró,RN,6
Bagé,RS,6
Petrópolis,RJ,6
Cascavel,PR,6
Presidente Prudente,SP,6
Campo Grande,MS,6
Teresina,PI,6
Erechim,RS,6
Cruz Alta,RS,6
Ponta Grossa,PR,5
Caxias do Sul,RS,5
João Monlevade,MG,5
Rio Grande,RS,5
Passo Fundo,RS,5
Alegre,ES,5
Palmeira das Missões,RS,5
Poços de Caldas,MG,5
Uberaba,MG,5
Lajeado,RS,4
Bento Gonçalves,RS,4
Castelo,ES,4
Cachoeiro de Itapemirim,ES,4
Ipatinga,MG,4
Marília,SP,4
Mogi Mirim,SP,4
Ouro Preto,MG,4
São José dos Campos,SP,4
Santo André,SP,4
Pará de Minas,MG,4
Joinville,SC,4
São Bernardo do Campo,SP,4
São Caetano do Sul,SP,4
Volta Redonda,RJ,4
Bauru,SP,4
Franca,SP,4
Anápolis,GO,4
Colatina,ES,4
Umuarama,PR,4
Uruguaiana,RS,4
Varginha,MG,4
Venâncio Aires,RS,4
Carangola,MG,4
Londrina,PR,4
João Neiva,ES,3
Araguari,MG,3
Cajazeiras,PB,3
Canoas,RS,3
Canela,RS,3
Resende,RJ,3
Restinga Seca,RS,3
Ribeirao Preto,SP,3
Governador Valadares,MG,3
Lins,SP,3
Campos dos Goytacazes,RJ,3
Rio Negro,PR,3
Campos,RJ,3
Bambuí,MG,3
Currais Novos,RN,3
Salgueiro,PE,3
Guarulhos,SP,3
Barbacena,MG,3
Abaetetuba,PA,3
Santiago,RS,3
Botucatu,SP,3
Corumbá,MS,3
Nova Prata,RS,3
Sertãozinho,SP,3
Sete Lagoas,MG,3
Sousa,PB,3
Novo Hamburgo,RS,3
São Borja,RS,3
Manhuaçu,MG,3
São Gonçalo,RJ,3
Ijuí,RS,3
São João del Rei,MG,3
São Luis,MA,3
São Luís,MA,3
Estrela,RS,3
Taquara,RS,3
Paranavaí,PR,3
Timóteo,MG,3
Concórdia,SC,3
Patos,PB,3
Blumenau,SC,3
Itapeva,SP,3
BELO HORIZONTE,MG,3
Carazinho,RS,3
Araras,SP,3
Pouso Alegre,MG,3
SALVADOR,BA,3
Canguçu,RS,2
Elias Fausto,SP,2
Niteroi,RJ,2
Apucarana,PR,2
Nova Friburgo,RJ,2
JUIZ DE FORA,MG,2
Arapongas,PR,2
Olinda,PE,2
Linhares,ES,2
Itabuna,BA,2
Araçatuba,SP,2
Panambi,RS,2
Paranaguá,PR,2
Areia,PB,2
Limeira,SP,2
Assaí,PR,2
Passos,MG,2
Jaboticabal,SP,2
Patos de Minas,MG,2
Carmo da Mata,MG,2
Carmo do Paranaíba,MG,2
Jacareí,SP,2
Piraju,SP,2
Pirassununga,SP,2
Piratuba,SC,2
Itajubá,MG,2
Catanduva,SP,2
Lages,SC,2
Flores da Cunha,RS,2
Presidente Bernardes,MG,2
Caçapava,SP,2
Quirinópolis,GO,2
Florianopolis,SC,2
Cerro Largo,RS,2
Chapecó,SC,2
Barretos,SP,2
Batatais,SP,2
Itaperuna,RJ,2
Bela Vista do Paraíso,PR,2
Ribeirão Vermelho,MG,2
Rio Casca,MG,2
Leopoldina,MG,2
Conselheiro Lafaiete,MG,2
Jandaia do Sul,PR,2
Corbélia,PR,2
Rio de Janeiro,SP,2
Rio de janeiro,RJ,2
Rio do Sul,SC,2
Itapira,SP,2
Rolândia,PR,2
Cornélio Procópio,PR,2
SANTA MARIA,RS,2
SAO PAULO,SP,2
Brasilia,DF,2
Garanhuns,PE,2
Ilhota,SC,2
Imperatriz,MA,2
Santa Rosa,RS,2
Santana do Livramento,RS,2
Santarém,PA,2
Indaiatuba,SP,2
CAXIAS DO SUL,RS,2
Santo Antonio do Monte,MG,2
Jataí,GO,2
Criciúma,SC,2
Independência,RS,2
Itumirim,MG,2
Silvânia,GO,2
Sorocaba,SP,2
Cruz das Almas,BA,2
Cuiabá,MT,2
CURITIBA,PR,2
Cachoeira do Sul,RS,2
Bragança Paulista,SP,2
São Gabriel,RS,2
Gravataí,RS,2
Lambari,MG,2
Divinópolis,MG,2
São Leopoldo,RS,2
Vila Velha,ES,2
Guarapuava,PR,2
São Mamede,PB,2
Guararapes,SP,2
São Pedro do Sul,RS,2
Guaratinguetá,SP,2
Taquaritinga,SP,2
Taubaté,SP,2
LAVRAS,MG,2
Terra Rica,PR,2
Mandaguari,PR,2
Tucunduva,RS,2
Duque de Caxias,RJ,2
Marialva,PR,2
Ubá,MG,2
Altinópolis,SP,2
Martins,RN,2
Altos,PI,2
Mirandopolis,SP,2
Veranópolis,RS,2
Mirassol,SP,2
Americana,SP,2
Amparo,SP,2
salvador,BA,2
Coronel Fabriciano,MG,1
Correntes,PE,1
Corumbataí,SP,1
Cosmorama,SP,1
Cotia,SP,1
Cristália,MG,1
CAMPINA GRANDE,PB,1
Cruzília,MG,1
Curitibanos,SC,1
Cícero-Dantas,BA,1
D. de Caxias,RJ,1
DOURADOQUARA,MG,1
Diamantina,MG,1
Dois Córregos,SP,1
Dois Vizinhos,PR,1
Domingos Martins,ES,1
Doutor Camargo,PR,1
Dracena,SP,1
ERECHIM,RS,1
ERVAL SECO,RS,1
ESPERANÇA,PB,1
Echaporã,SP,1
Eldorado,MS,1
Enéas Marques,PR,1
Erval Seco,RS,1
Ervália,MG,1
Espírito Santo do Dourado,MG,1
Espírito Santo do Pinhal,SP,1
Esteio,RS,1
FARROUPILHA,RS,1
Farias Brito,CE,1
Faxinal do Soturno,RS,1
Formiga,MG,1
Francisco Beltrão,PR,1
Francisco Sá,MG,1
Frederico Westphalen,RS,1
GUAIRA,SP,1
GUARACIABA,SC,1
GUAÇUI,ES,1
Garibaldi,RS,1
Gaspar,SC,1
Gaurama,RS,1
Getúlio Vargas,RS,1
Girau do Ponciano,AL,1
Glicério,SP,1
Goiana,PE,1
Goiás,GO,1
Grajaú,MA,1
Guaporé,RS,1
Guaranésia,MG,1
Guariba,SP,1
Guará,SP,1
Guaxupé,MG,1
Guaíra,PR,1
Guidoval,MG,1
Gurupi,TO,1
IBITIRAMA,ES,1
ITAPORANGA,PB,1
ITUMIRIM,MG,1
Ibaté,SP,1
Ibiaçá,RS,1
Ibirubá,RS,1
Ibitinga,SP,1
Ibiá,MG,1
Iguai,BA,1
Iguatemi,MS,1
Iguatu,CE,1
Ijui,RS,1
"Ijuí, RS",RS,1
Ilha Solteira,SP,1
Imbituva,PR,1
Independência,CE,1
Inhuma,PI,1
Iomerê,SC,1
Ipiaú,BA,1
Iporá,GO,1
Ipueiras,CE,1
Irapuru,SP,1
Iraí de Minas,MG,1
Irineópolis,SC,1
Itabaiana,PB,1
Itabaiana,SE,1
Itabi,SE,1
Itabira,MG,1
Itaguaí,RJ,1
Itajaí,SC,1
Itajobi,SP,1
Italva,RJ,1
Itanhandu,MG,1
Itapetinga,BA,1
Itapipoca,CE,1
Itararé,SP,1
Itaúna,MG,1
Itutinga,MG,1
Ituverava,SP,1
Ivaipoã,PR,1
Ivorá,RS,1
JAGUARI,RS,1
JAGUARÃO,RS,1
JOAO PESSOA,PB,1
JOÃO PESSOA,PB,1
Jaboatão,PE,1
Jaboatão dos Guararapes,PE,1
Jacarezinho,PR,1
Jaguapitã,PR,1
Jaguaruana,CE,1
Jales,SP,1
Jardim do Seridó,RN,1
Jataí-Goiás,GO,1
Jaú,SP,1
Jequié,BA,1
Joaquim Távora,PR,1
Juazeiro do Norte,CE,1
Juina,MT,1
Juiz de Fora MG,MG,1
Julio de Castilhos,RS,1
Jundiai,SP,1
Jóia,RS,1
Júlio de Castilhos,RS,1
LAGES,SC,1
LAJEADO,RS,1
LIMOEIRO DO NORTE,CE,1
LONDRINA,PR,1
Lagoa Vermelha,RS,1
Laguna,SC,1
Laje do Muriaé,RJ,1
Lauro Müller,SC,1
Lavras da Mangabeira,CE,1
Lavínia,SP,1
Liberdade,MG,1
Lorena,SP,1
Lucélia,SP,1
Luz,MG,1
MAJOR IZIDORO,AL,1
MANGUARATIBA,RJ,1
MARTINS,RN,1
MARÍLIA,SP,1
MONTE CARMELO,MG,1
MONTEIRO,PB,1
MOSSORÓ,RN,1
Macaiba,RN,1
Macapá,AP,1
Macatuba,SP,1
Macaé,RJ,1
Adamantina,SP,1
Macuco de Minas,MG,1
Mamanguape,PB,1
Aimorés,MG,1
Manaíra,PB,1
Alagoa Grande,PB,1
Mandaguaçu,PR,1
Manga,MG,1
Alagoinhas,BA,1
Manhuaçú,MG,1
Manhumirim,MG,1
Maracajá,SC,1
Maragogipe,BA,1
Marcelino Ramos,RS,1
Marechal Cândido Rondon,PR,1
Alegre ES,ES,1
Mariana,MG,1
Maringa,PR,1
Alegrete,RS,1
Maringá,SP,1
Marinópolis,MG,1
Alfenas,MG,1
Altamira,PA,1
Matao,SP,1
Matias Lobato,MG,1
Matão,SP,1
Mauá,SP,1
Meleiro,SC,1
Milhã,CE,1
Una,BA,1
Mirasselvas,PA,1
Araguatins,TO,1
Mococa,SP,1
ARAGUARI,MG,1
Monte Alegre,MG,1
Monte Alegre de Minas,MG,1
Monte Alto,SP,1
Monte Aprazível,SP,1
Montenegro,RS,1
Altônia,PR,1
Morro da Fumaça,SC,1
Anapolis,GO,1
Muriae,MG,1
Muriaé,MG,1
NATAL,RN,1
NOVA FLORESTA,PB,1
Anastácio,MS,1
Neves Paulista,SP,1
Nilópolis,RJ,1
Nioaque,MS,1
Angra dos Reis,RJ,1
Antonio Carlos,SC,1
Nonoai,RS,1
Nossa Senhora Das Dores,SE,1
Nova Bassano,RS,1
Aparecida,SP,1
Nova Iguaçu,RJ,1
Nova Lima,MG,1
Aracajú,SE,1
Arapiraca,AL,1
Araponga,MG,1
Oliveira,MG,1
Osasco,SP,1
Ouro,SC,1
Ouro Fino,MG,1
Araruama,RJ,1
PARACATU,MG,1
PARANAÍBA,MS,1
PAULA CÂNDIDO,MG,1
PELOTAS,RS,1
PIRACICABA,SP,1
PORECATU,PR,1
Araruna,PR,1
PRESIDENTE BERNARDES,MG,1
PRESIDENTE PRUDENTE,SP,1
Pacatuba,SE,1
Paiçandu,PR,1
Palhoça,SC,1
Palmeira D'Oeste,SP,1
Palmeira Dos Indios,AL,1
Aratiba,RS,1
Palmital,PR,1
Palmitinho,RS,1
Palmitos,SC,1
Palotina,PR,1
Araxá,MG,1
Paracatu,DF,1
Paracatú,MG,1
Paraguaçu Paulista,SP,1
Paraisópolis,MG,1
Paramirim,BA,1
Assis,SP,1
Assis Chateaubriand,PR,1
Parintins,AM,1
Pariquera Açu,SP,1
Atibaia,SP,1
Passa Tempo,MG,1
Auriflama,SP,1
BARRETOS,SP,1
BAURU,SP,1
BELEM,PA,1
Patrocinio Paulista,SP,1
Pau dos Ferros,RN,1
Paulo Afonso,BA,1
Paulo Lopes,SC,1
Pedras Grandes,SC,1
Pedrinópolis,MG,1
Pedro Avelino,RN,1
Pedro Osório RS,RS,1
BELÉM,PA,1
Penapolis,SP,1
Penedo,AL,1
Penápolis,SP,1
BENTO GONÇALVES,RS,1
Picos,PI,1
Pinhalzinho,SC,1
BEZERROS,PE,1
BLUMENAU,SC,1
BRASILIA,DF,1
Bacabal,MA,1
Piraí,RJ,1
Piraúba,MG,1
Pires do Rio,GO,1
Pitanga,PR,1
Pompéia,SP,1
Bage,RS,1
Ponte Nova,MG,1
Porto Aelgre,RS,1
Porto Alege,RS,1
Bagé/RS,RS,1
Porto Feliz,SP,1
Porto Ferreira,SP,1
Porto Firme,MG,1
Porto Real do Colégio,AL,1
Porto Velho,RO,1
Potirendaba,SP,1
Bandeirantes,PR,1
Poxoreu,MT,1
Poço de Pedras,RN,1
Barra do Garças,MT,1
Prata  - MG,MG,1
Prata Minas Gerais,SP,1
Pratápolis,MG,1
Barra do Rocha,BA,1
Presidente Epitácio,SP,1
Barracão,RS,1
Promissão,SP,1
Propriá,SE,1
Putinga,RS,1
Quedas do Iguaçu,PR,1
Quedas do Iguaçu - PR,PR,1
Quilombo,SC,1
Barreiras,BA,1
Quixadá,CE,1
Barros Cassal,RS,1
RIBEIRÃO,PE,1
Barão de Cocais,MG,1
RIO GRANDE,RS,1
Raul Soares,MG,1
Batayporã,MS,1
Redenção,CE,1
Baturite,CE,1
Belem,PA,1
Bicas,MG,1
Ribeirão Pires,SP,1
Bocaina,PI,1
Bom Conselho,PE,1
Rio Bonito,RJ,1
Rio Branco,AC,1
Bom Jesus,RS,1
Bom Jesus da Lapa,BA,1
Bom Retiro do Sul,RS,1
Braga,RS,1
Rio Paranaíba,MG,1
Rio Pardo,RS,1
Rio Pomba,MG,1
Rio Verde,GO,1
Rio de Janeiro,DF,1
Bragança,PA,1
Brasiléia,AC,1
CABACEIRAS,PB,1
ARAÇATUBA,SP,1
Rio verde de Mato Grosso,MS,1
Rodeio Bonito,RS,1
CAMPINAS,SP,1
CARUARU,PE,1
Roque Gonzales,RS,1
Rosário do Sul,RS,1
CATENDE,PE,1
CENTENARIO DO SUL,RJ,1
SANTA ROSA,RS,1
SANTANÉSIA,RJ,1
SANTARÉM,PA,1
SANTO ANTONIO DO PALMA,RS,1
CENTRAL,BA,1
SAPIRANGA,RS,1
SENADOR FIRMINO,MG,1
SERRA TALHADA,PE,1
SOBRAL,CE,1
SOUSA,PB,1
SURUBIM,PE,1
CORDISLÂNDIA,MG,1
CORNELIO PROCOPIO,PR,1
Salvador do Sul,RS,1
Sananduva,RS,1
Sant'Ana do Livramento,RS,1
Santa Bárbara,BA,1
Santa Bárbara,MG,1
Santa Bárbara D'Oeste,SP,1
COROMANDEL,MG,1
Santa Helena de Goiás,GO,1
Santa Izabel do Para,PA,1
Santa Margarida,MG,1
CORUMBA,MS,1
Santa Maria do Suaçuí,MG,1
Santa Quitéria,MA,1
Santa Rita,PB,1
CRICIUMA,SC,1
Santa Rosa de Viterbo,SP,1
Santa Vitória do Palmar,RS,1
CRUZ ALTA,RS,1
Santana dos Garrotes,PB,1
Cabedelo,PB,1
Cabo Frio,RJ,1
Santo Amaro da Imperatriz,SC,1
Santo Andre,SP,1
Cachoeira do Campo,MG,1
Santo Angelo,RS,1
Santo Antonio da Patrulha,RS,1
Cacique Doble,RS,1
Santo Antônio da Patrulha,RS,1
Santo Inácio,PR,1
Santo Ângelo,RS,1
Cafelândia,SP,1
SantÀna do Livramento,RS,1
Sao Caetano do Sul,SP,1
Sao Jose dos Campos,SP,1
Sao Luis,MA,1
Sao Luis Gonzaga,RS,1
Sao Manuel,SP,1
Cajuri,MG,1
Sapiranga,RS,1
Sapucaí Mirim,MG,1
Seara,SC,1
Serrita,PE,1
Camaqua,RS,1
Camaquã,RS,1
Cambé,PR,1
Sinop,MT,1
Soledade,RS,1
Camocim,CE,1
Sossego,PB,1
"Campina Grande, Paraíba, Brasi",PB,1
Sr do Bomfim,BA,1
Suzano,SP,1
SÃO JOÃO DA PONTE,MG,1
SÃO JOÃO DEL REI,MG,1
SÃO LEOPOLDO,RS,1
SÃO PAULO,SP,1
São Bento do Sapucaí,SP,1
São Bento do Sul,SC,1
Campinas,RJ,1
Campo Grande,RN,1
Campo Maior,PI,1
Campo do Brito,SE,1
São Domingos do Sul,RS,1
São Fidélis,RJ,1
São Francisco do Conde,BA,1
São Félix do Xingú,PA,1
São Gabriel,BA,1
Canavieiras,BA,1
Candeal,BA,1
São Joaquim,SC,1
São José de Mipibú,RN,1
São José do Calçado,ES,1
São José do Norte,RS,1
Candido Mota,SP,1
Rolim de Moura,RO,1
São José dos Pinhais,PR,1
São João,PR,1
São João da Boa Vista,SP,1
São João de Meriti,RJ,1
Canoinhas,SC,1
São João do Polêsine,RS,1
São João dos Patos,MA,1
Capela Nova,MG,1
São Lourenço,MG,1
São Lourenço D'Oeste,SC,1
Capitólio,MG,1
Capivari,SP,1
São Luís de Montes Belos,GO,1
Caratinga,MG,1
São Manuel,SP,1
São Marcos,RS,1
Caraúbas,RN,1
São Pedro do Piauí,PI,1
Carlos Barbosa,RS,1
São Sebastião do Umbuzeiro,PB,1
São Valentim,RS,1
São carlos,SP,1
Sítio do Mato,BA,1
TRES ARROIOS,RS,1
Taguatinga,DF,1
Tapejara,RS,1
Tapera,RS,1
Taperoá,PB,1
Tapirai,SP,1
Carmo do Rio Claro,MG,1
Taquari,RS,1
Cascavel,CE,1
Cassilândia,MS,1
Telemaco Borba,PR,1
Teresia,PI,1
Castelo do Piauí,PI,1
Terra Boa,PR,1
Cataguases,MG,1
Texeira,PB,1
Teófilo Otoni,MG,1
Timbaúba,PE,1
Timoteo,MG,1
Caxambu do Sul,SC,1
Toledo,PR,1
Torres,RS,1
Tremembe,SP,1
Tres Pontas,MG,1
Trindade,GO,1
Três Corações,MG,1
Três Passos,RS,1
Três de Maio,RS,1
Tubarão,SC,1
Caxias,MA,1
Tupi Paulista,SP,1
Tupã,SP,1
Turvo,SC,1
Caçapava do Sul,RS,1
Uberlandia,MG,1
Cedro,CE,1
Chavantes,SP,1
Chopinzinho,PR,1
Virgem da Lapa,MG,1
Unaí,MG,1
União,PI,1
Cianorte,PR,1
Urussanga,SC,1
VERANÓPOLIS,RS,1
VIÇOSA,MG,1
Vacaria,RS,1
Valinhos,SP,1
Colina,SP,1
Varzea da Palma,MG,1
Colorado,PR,1
Conceição das Alagoas,MG,1
Verê,PR,1
Vicosa,MG,1
Águas Formosas,MG,1
Alto Rio Doce,MG,1
Virginopolis,MG,1
Visconde do Rio Branco,MG,1
Vitoria,ES,1
Concórdia SC,SC,1
Contagem,MG,1
Cordeiro,RJ,1
Votuporanga,SP,1
Xaxim,SC,1
elesbão veloso,PI,1
joão pessoa,PB,1
maringá,PR,1
mateus leme,MG,1
osasco,SP,1
Coromandel,MG,1
ARARAQUARA,SP,1
